timestamp,ax,ay,az,gx,gy,gz,label
2025-10-09T11:18:59.154560,-14360,-1904,-7884,-420,206,-24,fast
2025-10-09T11:18:59.176379,-14340,-1896,-7904,-336,233,-48,fast
2025-10-09T11:18:59.200025,-14384,-1908,-7880,-276,216,-21,fast
2025-10-09T11:18:59.220499,-14412,-1892,-7792,-218,213,-3,fast
2025-10-09T11:18:59.242578,-14372,-1936,-7880,-221,125,-31,fast
2025-10-09T11:18:59.264999,-14368,-1984,-7912,-275,129,-12,fast
2025-10-09T11:18:59.287257,-14396,-1936,-7864,-321,183,27,fast
2025-10-09T11:18:59.309345,-14448,-1992,-7908,-316,209,8,fast
2025-10-09T11:18:59.331228,-14296,-2016,-7780,-263,246,58,fast
2025-10-09T11:18:59.353214,-14372,-1988,-7880,-283,181,-34,fast
2025-10-09T11:18:59.375317,-14256,-2084,-7892,-322,187,-116,fast
2025-10-09T11:18:59.397307,-14352,-2084,-7808,-208,149,-109,fast
2025-10-09T11:18:59.419487,-14440,-2012,-7728,-165,172,-137,fast
2025-10-09T11:18:59.441408,-14428,-1992,-7932,-155,225,-196,fast
2025-10-09T11:18:59.462959,-14428,-1884,-7788,-250,193,-157,fast
2025-10-09T11:18:59.484426,-14440,-2016,-7736,-281,218,-90,fast
2025-10-09T11:18:59.506695,-14436,-1880,-7780,-232,227,-8,fast
2025-10-09T11:18:59.528655,-14480,-1836,-7976,-252,197,10,fast
2025-10-09T11:18:59.550668,-14404,-1772,-7900,-211,238,-3,fast
2025-10-09T11:18:59.573233,-14400,-1956,-7860,-213,227,13,fast
2025-10-09T11:18:59.595149,-14428,-1940,-7884,-219,189,-44,fast
2025-10-09T11:18:59.617351,-14436,-1996,-7812,-189,196,-36,fast
2025-10-09T11:18:59.638594,-14408,-1868,-7792,-282,109,-63,fast
2025-10-09T11:18:59.660514,-14408,-1968,-7732,-226,116,-11,fast
2025-10-09T11:18:59.683023,-14452,-2228,-7796,-158,138,27,fast
2025-10-09T11:18:59.704449,-14492,-2040,-7788,-107,158,-48,fast
2025-10-09T11:18:59.726497,-14420,-2180,-7848,-159,145,-42,fast
2025-10-09T11:18:59.749016,-14500,-2152,-7672,-81,72,-150,fast
2025-10-09T11:18:59.770523,-14396,-2052,-7800,-120,56,-170,fast
2025-10-09T11:18:59.792502,-14320,-2164,-7868,-114,29,-192,fast
2025-10-09T11:18:59.814481,-14300,-1948,-7872,44,28,-178,fast
2025-10-09T11:18:59.836464,-14272,-2040,-7944,61,22,-201,fast
2025-10-09T11:18:59.858161,-14112,-1760,-8592,175,9,-56,fast
2025-10-09T11:18:59.880558,-14504,-1068,-9312,774,523,76,fast
2025-10-09T11:18:59.902740,-14136,-148,-10592,476,641,447,fast
2025-10-09T11:18:59.924435,-13164,1140,-11892,562,1267,650,fast
2025-10-09T11:18:59.946587,-11372,2928,-14384,188,1464,962,fast
2025-10-09T11:18:59.968606,-9800,3368,-17452,89,1683,732,fast
2025-10-09T11:18:59.990876,-9684,6000,-19052,-2600,1800,1219,fast
2025-10-09T11:19:00.013000,-10704,6064,-21468,-5491,2665,1471,fast
2025-10-09T11:19:00.034863,-13356,5300,-21288,-9536,4700,1198,fast
2025-10-09T11:19:00.056935,-16356,4444,-20924,-15084,6769,851,fast
2025-10-09T11:19:00.078882,-17096,1516,-19100,-20859,9364,940,fast
2025-10-09T11:19:00.101535,-17564,-1544,-16968,-23559,13150,3252,fast
2025-10-09T11:19:00.123241,-17948,-3644,-13512,-22534,17117,6496,fast
2025-10-09T11:19:00.145253,-18516,-4708,-10128,-20568,19023,9103,fast
2025-10-09T11:19:00.167562,-19168,-3972,-9220,-19315,18371,9984,fast
2025-10-09T11:19:00.189347,-19640,-4336,-7884,-17701,16884,10809,fast
2025-10-09T11:19:00.211279,-18676,-3912,-7376,-15467,15375,10894,fast
2025-10-09T11:19:00.233275,-15924,-3268,-7876,-13154,14291,11703,fast
2025-10-09T11:19:00.255290,-13640,-2564,-6664,-11263,14023,11244,fast
2025-10-09T11:19:00.277201,-13132,-812,-7032,-11533,11426,8270,fast
2025-10-09T11:19:00.299008,-10028,224,-9376,-10020,9569,5376,fast
2025-10-09T11:19:00.321046,-10392,1948,-8348,-8840,6994,2453,fast
2025-10-09T11:19:00.342830,-8792,2096,-10008,-6119,5215,-284,fast
2025-10-09T11:19:00.364980,-8372,4036,-10240,-4339,4118,-1406,fast
2025-10-09T11:19:00.387037,-7940,5684,-10544,-3630,3064,-2962,fast
2025-10-09T11:19:00.408897,-7708,7260,-10864,-3449,2812,-3470,fast
2025-10-09T11:19:00.430894,-7832,8100,-11288,-3330,2885,-3456,fast
2025-10-09T11:19:00.453133,-7740,9544,-11468,-3472,2470,-2674,fast
2025-10-09T11:19:00.475393,3880,7180,-18584,-884,3359,-2766,fast
2025-10-09T11:19:00.497436,-6084,9904,-12824,-1298,209,-982,fast
2025-10-09T11:19:00.518633,-7512,8580,-12468,-958,141,419,fast
2025-10-09T11:19:00.541380,-7620,8616,-12236,-822,15,196,fast
2025-10-09T11:19:00.563332,-7428,8464,-12484,-872,273,-242,fast
2025-10-09T11:19:00.585340,-7300,8780,-12436,-485,609,-414,fast
2025-10-09T11:19:00.607284,-7516,9168,-12188,-215,741,-468,fast
2025-10-09T11:19:00.629264,-7152,9752,-12144,-192,662,69,fast
2025-10-09T11:19:00.651384,-6936,9932,-12024,-307,565,357,fast
