timestamp,ax,ay,az,gx,gy,gz,label
2025-10-09T11:29:50.865968,-13604,-1832,-9296,-188,64,1,left
2025-10-09T11:29:50.889008,-13640,-1668,-9360,-237,25,78,left
2025-10-09T11:29:50.910317,-13640,-1636,-9468,-173,147,4,left
2025-10-09T11:29:50.933042,-13628,-1692,-9492,-189,212,-97,left
2025-10-09T11:29:50.954853,-13616,-1636,-9336,-114,336,-108,left
2025-10-09T11:29:50.976826,-13604,-1568,-9464,-208,259,-121,left
2025-10-09T11:29:50.998983,-13656,-1588,-9356,-243,187,-116,left
2025-10-09T11:29:51.021454,-13664,-1572,-9352,-287,139,-123,left
2025-10-09T11:29:51.042654,-13684,-1608,-9508,-361,98,-131,left
2025-10-09T11:29:51.065137,-13568,-1736,-9356,-336,133,-45,left
2025-10-09T11:29:51.086633,-13572,-1756,-9404,-273,189,-70,left
2025-10-09T11:29:51.108971,-13560,-1736,-9548,-376,160,-254,left
2025-10-09T11:29:51.130995,-13648,-1680,-9432,-279,240,-256,left
2025-10-09T11:29:51.153364,-13600,-1588,-9312,-250,256,-242,left
2025-10-09T11:29:51.175392,-13636,-1604,-9404,-298,250,-229,left
2025-10-09T11:29:51.197413,-13620,-1660,-9440,-317,233,-173,left
2025-10-09T11:29:51.219224,-13624,-1636,-9344,-323,225,-142,left
2025-10-09T11:29:51.241040,-13556,-1556,-9372,-348,234,-172,left
2025-10-09T11:29:51.263068,-13644,-1628,-9316,-369,272,-126,left
2025-10-09T11:29:51.285480,-13680,-1744,-9416,-454,260,-177,left
2025-10-09T11:29:51.307563,-13596,-1756,-9496,-431,236,-170,left
2025-10-09T11:29:51.329237,-13616,-1752,-9344,-342,264,-120,left
2025-10-09T11:29:51.350802,-13600,-1716,-9424,-316,242,-151,left
2025-10-09T11:29:51.372605,-13560,-1876,-9312,-367,237,-203,left
2025-10-09T11:29:51.394618,-13580,-1692,-9508,-374,196,-173,left
2025-10-09T11:29:51.417076,-13696,-1648,-9316,-289,199,-184,left
2025-10-09T11:29:51.438715,-13668,-1656,-9316,-176,167,-186,left
2025-10-09T11:29:51.460639,-13804,-1772,-9320,-105,104,-118,left
2025-10-09T11:29:51.482356,-13724,-1772,-9240,-84,-26,-108,left
2025-10-09T11:29:51.504093,-13556,-1744,-9392,-83,-8,7,left
2025-10-09T11:29:51.526463,-13600,-1880,-9380,-23,-48,15,left
2025-10-09T11:29:51.549028,-13612,-1864,-9500,-52,-18,-67,left
2025-10-09T11:29:51.570641,-13728,-1880,-9500,-134,-57,-236,left
2025-10-09T11:29:51.592376,-13544,-1808,-9820,-109,69,-423,left
2025-10-09T11:29:51.614719,-13552,-1204,-10128,-569,75,-839,left
2025-10-09T11:29:51.636681,-13336,-708,-10696,-1139,105,-1409,left
2025-10-09T11:29:51.658821,-12856,168,-11576,-1813,242,-1979,left
2025-10-09T11:29:51.680752,-12376,1188,-12400,-3227,214,-3016,left
2025-10-09T11:29:51.702735,-11660,1756,-12764,-5117,177,-4061,left
2025-10-09T11:29:51.724912,-10496,2572,-13616,-7356,233,-5139,left
2025-10-09T11:29:51.746984,-10116,3180,-13992,-10368,465,-6377,left
2025-10-09T11:29:51.768826,-9304,3260,-15308,-14006,470,-7649,left
2025-10-09T11:29:51.791138,-9632,3568,-16208,-17304,1202,-8426,left
2025-10-09T11:29:51.813081,-9932,2952,-17764,-20531,1654,-8770,left
2025-10-09T11:29:51.834988,-9968,1280,-19692,-22408,2540,-8007,left
2025-10-09T11:29:51.856987,-10776,560,-19872,-23515,3685,-7172,left
2025-10-09T11:29:51.878978,-11664,-1464,-18888,-25332,4321,-7292,left
2025-10-09T11:29:51.901058,-11936,-3060,-18684,-25756,5604,-6426,left
2025-10-09T11:29:51.923215,-12772,-4912,-17176,-25356,7272,-5281,left
2025-10-09T11:29:51.944983,-13360,-5076,-15824,-24848,7858,-4768,left
2025-10-09T11:29:51.967052,-13492,-5212,-13812,-23197,8701,-3739,left
2025-10-09T11:29:51.989190,-14424,-4436,-11584,-21249,8596,-3307,left
2025-10-09T11:29:52.011012,-14080,-3740,-10524,-18968,8176,-2197,left
2025-10-09T11:29:52.032941,-13412,-4156,-10076,-15047,8243,410,left
2025-10-09T11:29:52.054936,-14420,-3892,-8888,-11674,7363,2109,left
2025-10-09T11:29:52.077163,-15068,-2260,-7148,-10366,5221,2900,left
2025-10-09T11:29:52.098706,-13504,-1672,-8852,-8598,3801,2859,left
2025-10-09T11:29:52.122090,-13072,-1160,-8228,-7160,2677,2692,left
2025-10-09T11:29:52.143063,-13364,604,-8940,-5722,2324,1555,left
2025-10-09T11:29:52.164767,-12652,2136,-8968,-5636,1788,-407,left
2025-10-09T11:29:52.186674,-11940,2392,-8708,-5353,1331,-2195,left
2025-10-09T11:29:52.208808,-10868,2928,-9524,-4542,1402,-3066,left
2025-10-09T11:29:52.230952,-11160,3916,-10220,-3898,1264,-3372,left
2025-10-09T11:29:52.253033,-11492,4536,-10932,-2669,1373,-2766,left
2025-10-09T11:29:52.275001,-11920,5236,-10760,-1980,952,-2482,left
2025-10-09T11:29:52.296741,-11832,5788,-10624,-1976,120,-2384,left
2025-10-09T11:29:52.319121,-11320,5860,-11460,-1227,-156,-1367,left
2025-10-09T11:29:52.341267,-10952,6444,-11740,-689,-490,-472,left
2025-10-09T11:29:52.362711,-10452,6528,-12024,-287,-410,621,left
2025-10-09T11:29:52.384797,-10968,6700,-11768,-31,-231,1188,left
