timestamp,ax,ay,az,gx,gy,gz,label
2025-10-09T11:16:07.134070,-13472,-3332,-8836,-282,75,-155,medium
2025-10-09T11:16:07.155031,-13488,-3548,-8868,-216,128,3,medium
2025-10-09T11:16:07.176246,-13528,-3440,-8836,-255,127,18,medium
2025-10-09T11:16:07.198456,-13584,-3456,-8760,-292,120,-76,medium
2025-10-09T11:16:07.220329,-13560,-3452,-8780,-317,92,-156,medium
2025-10-09T11:16:07.243080,-13580,-3456,-8820,-328,34,-278,medium
2025-10-09T11:16:07.264914,-13528,-3404,-8848,-383,58,-337,medium
2025-10-09T11:16:07.286695,-13484,-3324,-8900,-307,103,-270,medium
2025-10-09T11:16:07.309386,-13652,-3244,-8856,-272,146,-144,medium
2025-10-09T11:16:07.330978,-13560,-3204,-8764,-284,133,-59,medium
2025-10-09T11:16:07.352608,-13580,-3264,-8876,-295,106,55,medium
2025-10-09T11:16:07.374917,-13724,-3240,-8908,-463,73,66,medium
2025-10-09T11:16:07.396777,-13636,-3204,-9008,-561,-3,1,medium
2025-10-09T11:16:07.419064,-13504,-3292,-8924,-439,115,21,medium
2025-10-09T11:16:07.440424,-13640,-3496,-8728,-262,173,84,medium
2025-10-09T11:16:07.463124,-13560,-3432,-8688,-291,150,42,medium
2025-10-09T11:16:07.484985,-13576,-3488,-8688,-263,86,87,medium
2025-10-09T11:16:07.506644,-13480,-3552,-8788,-263,21,89,medium
2025-10-09T11:16:07.529050,-13580,-3284,-8732,-298,-30,75,medium
2025-10-09T11:16:07.550964,-13600,-3312,-8920,-294,-15,3,medium
2025-10-09T11:16:07.572978,-13580,-3300,-8788,-238,85,98,medium
2025-10-09T11:16:07.595029,-13616,-3380,-8836,-213,210,139,medium
2025-10-09T11:16:07.616234,-13552,-3408,-8780,-227,195,95,medium
2025-10-09T11:16:07.638231,-13540,-3412,-8672,-248,103,21,medium
2025-10-09T11:16:07.660348,-13612,-3280,-8620,-255,81,-82,medium
2025-10-09T11:16:07.682294,-13520,-3432,-8740,-175,73,-37,medium
2025-10-09T11:16:07.704152,-13508,-3356,-8756,-91,61,-47,medium
2025-10-09T11:16:07.726243,-13620,-3376,-8724,-167,80,-14,medium
2025-10-09T11:16:07.748249,-13604,-3232,-8836,-240,88,-134,medium
2025-10-09T11:16:07.770559,-13500,-3284,-8912,-232,151,-123,medium
2025-10-09T11:16:07.792620,-13648,-3160,-8936,-309,143,-183,medium
2025-10-09T11:16:07.814723,-13608,-3036,-9028,-376,62,-264,medium
2025-10-09T11:16:07.836254,-13468,-3096,-8992,-403,69,-351,medium
2025-10-09T11:16:07.858306,-13472,-3164,-9044,-354,65,-285,medium
2025-10-09T11:16:07.880420,-13492,-3268,-9024,-301,107,-228,medium
2025-10-09T11:16:07.902558,-13616,-3268,-8984,-368,159,-287,medium
2025-10-09T11:16:07.924547,-13652,-3332,-8852,-456,153,-501,medium
2025-10-09T11:16:07.946685,-13516,-3156,-8908,-576,147,-614,medium
2025-10-09T11:16:07.968488,-13380,-3172,-9184,-527,180,-713,medium
2025-10-09T11:16:07.990546,-13156,-2920,-9892,-549,262,-716,medium
2025-10-09T11:16:08.012818,-13256,-2068,-10408,-684,513,-654,medium
2025-10-09T11:16:08.034530,-12988,-1036,-11128,-1056,804,-644,medium
2025-10-09T11:16:08.056532,-12324,12,-11632,-1699,1233,-712,medium
2025-10-09T11:16:08.078777,-12296,720,-12616,-2497,1820,-626,medium
2025-10-09T11:16:08.100607,-12212,1480,-12920,-3381,2235,-534,medium
2025-10-09T11:16:08.122599,-12376,1820,-13364,-4879,2585,-654,medium
2025-10-09T11:16:08.144870,-12820,2220,-13848,-6708,2568,-750,medium
2025-10-09T11:16:08.166605,-12768,2148,-14836,-8505,2772,-461,medium
2025-10-09T11:16:08.188632,-13204,1888,-15080,-9922,3350,356,medium
2025-10-09T11:16:08.210621,-13844,1636,-14820,-11927,3588,619,medium
2025-10-09T11:16:08.232793,-13544,872,-15088,-13907,3553,866,medium
2025-10-09T11:16:08.254620,-13288,-20,-15040,-15017,3900,1547,medium
2025-10-09T11:16:08.277116,-13212,-1044,-14692,-15321,4499,2512,medium
2025-10-09T11:16:08.299032,-13516,-3076,-13196,-15316,5028,3196,medium
2025-10-09T11:16:08.321003,-14208,-2680,-12548,-15924,4280,2764,medium
2025-10-09T11:16:08.343014,-13420,-3848,-11980,-14745,4202,2718,medium
2025-10-09T11:16:08.365287,-13608,-4136,-11156,-13161,4234,2544,medium
2025-10-09T11:16:08.386956,-13388,-4596,-10288,-11435,4208,2355,medium
2025-10-09T11:16:08.408872,-13352,-4508,-9464,-10130,4029,1812,medium
2025-10-09T11:16:08.431354,-12856,-3720,-8952,-9548,3795,1050,medium
2025-10-09T11:16:08.453412,-12940,-2476,-8048,-8766,4032,672,medium
2025-10-09T11:16:08.475271,-10632,-3096,-9984,-6765,5013,1963,medium
2025-10-09T11:16:08.496811,-12556,-616,-8336,-6579,4812,677,medium
2025-10-09T11:16:08.519044,-11680,-992,-9196,-6621,3867,-448,medium
2025-10-09T11:16:08.541121,-11808,0,-9164,-5397,3370,-1108,medium
2025-10-09T11:16:08.562986,-11792,356,-9596,-4061,2412,-1537,medium
2025-10-09T11:16:08.585390,-12048,1188,-9464,-2658,1462,-1494,medium
2025-10-09T11:16:08.607216,-12056,1564,-10036,-1387,589,-1253,medium
2025-10-09T11:16:08.629419,-11700,1752,-10612,-565,-272,-806,medium
