timestamp,ax,ay,az,gx,gy,gz,label
2025-10-09T11:31:57.830080,-12880,-1688,-10456,-400,134,-96,right
2025-10-09T11:31:57.850969,-13032,-1680,-10432,-269,154,-164,right
2025-10-09T11:31:57.872843,-12964,-1664,-10364,-219,151,-133,right
2025-10-09T11:31:57.894839,-12928,-1676,-10440,-246,137,-143,right
2025-10-09T11:31:57.916849,-13036,-1492,-10296,-229,147,-101,right
2025-10-09T11:31:57.938882,-12952,-1532,-10392,-321,131,-133,right
2025-10-09T11:31:57.961504,-12916,-1528,-10496,-322,161,-118,right
2025-10-09T11:31:57.983168,-12896,-1680,-10428,-359,102,-121,right
2025-10-09T11:31:58.004905,-12956,-1672,-10412,-339,90,-84,right
2025-10-09T11:31:58.027110,-12984,-1740,-10428,-293,179,-73,right
2025-10-09T11:31:58.049222,-13008,-1676,-10256,-217,205,-120,right
2025-10-09T11:31:58.071396,-13040,-1608,-10280,-227,176,-214,right
2025-10-09T11:31:58.093057,-12964,-1504,-10252,-296,152,-201,right
2025-10-09T11:31:58.115078,-12924,-1688,-10384,-263,108,-28,right
2025-10-09T11:31:58.136947,-12980,-1600,-10360,-281,103,71,right
2025-10-09T11:31:58.158948,-13072,-1636,-10424,-249,117,-2,right
2025-10-09T11:31:58.181634,-13020,-1624,-10244,-272,128,-128,right
2025-10-09T11:31:58.203668,-12968,-1512,-10372,-348,180,-188,right
2025-10-09T11:31:58.225455,-12932,-1572,-10332,-407,124,-126,right
2025-10-09T11:31:58.247013,-12852,-1732,-10448,-326,223,23,right
2025-10-09T11:31:58.269261,-13000,-1584,-10468,-246,245,13,right
2025-10-09T11:31:58.291688,-13060,-1556,-10324,-243,247,-112,right
2025-10-09T11:31:58.313039,-13040,-1572,-10316,-297,208,-206,right
2025-10-09T11:31:58.336211,-12988,-1640,-10308,-265,122,-148,right
2025-10-09T11:31:58.356588,-13012,-1612,-10320,-218,99,-1,right
2025-10-09T11:31:58.378747,-13036,-1676,-10280,-214,113,111,right
2025-10-09T11:31:58.400855,-13012,-1728,-10432,-292,127,-27,right
2025-10-09T11:31:58.425073,-12824,-1712,-10480,-250,156,-115,right
2025-10-09T11:31:58.444899,-12916,-1740,-10460,-179,261,-101,right
2025-10-09T11:31:58.469073,-12932,-1708,-10332,-154,250,-167,right
2025-10-09T11:31:58.488850,-12840,-1640,-10296,-222,165,-215,right
2025-10-09T11:31:58.511064,-12812,-1864,-10240,-162,155,-293,right
2025-10-09T11:31:58.532862,-12740,-1896,-10444,-114,135,-322,right
2025-10-09T11:31:58.554717,-12564,-1760,-10812,139,361,-300,right
2025-10-09T11:31:58.576653,-12404,-1440,-11040,8,522,-571,right
2025-10-09T11:31:58.598945,-12176,-912,-11368,-406,711,-934,right
2025-10-09T11:31:58.621089,-12196,-284,-12040,-449,1185,-1226,right
2025-10-09T11:31:58.642922,-12092,760,-12152,-690,1821,-1689,right
2025-10-09T11:31:58.664999,-12304,2336,-12260,-434,2719,-1971,right
2025-10-09T11:31:58.686991,-12516,4240,-12608,-124,3478,-1699,right
2025-10-09T11:31:58.708837,-12568,4712,-13428,698,4443,-483,right
2025-10-09T11:31:58.730897,-13356,6900,-15132,998,5406,1670,right
2025-10-09T11:31:58.753019,-12576,6904,-15576,2556,6380,4901,right
2025-10-09T11:31:58.774890,-14924,10016,-18780,2817,8300,8936,right
2025-10-09T11:31:58.797253,-17312,11452,-18016,-843,7678,10639,right
2025-10-09T11:31:58.819271,-15816,9352,-19356,-6263,7176,11885,right
2025-10-09T11:31:58.841262,-14752,6804,-20680,-10284,8803,15283,right
2025-10-09T11:31:58.863363,-15452,5132,-19848,-13589,11096,19115,right
2025-10-09T11:31:58.885233,-16496,3236,-18580,-17329,12458,21261,right
2025-10-09T11:31:58.907286,-16928,856,-17236,-20223,12931,22337,right
2025-10-09T11:31:58.929548,-16112,-1108,-16476,-20275,13534,23636,right
2025-10-09T11:31:58.952127,-15780,-1624,-14568,-18276,14101,24723,right
2025-10-09T11:31:58.973376,-15044,-1980,-12780,-16493,13122,23735,right
2025-10-09T11:31:58.995386,-13380,-1036,-11292,-14282,11536,21594,right
2025-10-09T11:31:59.018100,-11640,-420,-10168,-12156,9651,18394,right
2025-10-09T11:31:59.039025,-9844,-32,-9356,-10276,7764,14680,right
2025-10-09T11:31:59.060824,-7672,396,-9364,-8586,6588,11332,right
2025-10-09T11:31:59.082851,-5756,1352,-9528,-6676,6189,8676,right
2025-10-09T11:31:59.104746,-4988,3164,-9124,-5351,5676,5775,right
2025-10-09T11:31:59.126725,-4304,4784,-9212,-4848,4539,2711,right
2025-10-09T11:31:59.148542,-3484,5792,-9872,-4163,3377,315,right
2025-10-09T11:31:59.171020,-3244,6620,-10580,-2904,2492,-900,right
2025-10-09T11:31:59.192829,-2896,7924,-11128,-1652,1867,-1423,right
2025-10-09T11:31:59.215000,-3188,9640,-11376,-635,1125,-1575,right
2025-10-09T11:31:59.236812,-3080,10012,-11768,461,488,-1433,right
2025-10-09T11:31:59.258481,-2820,10636,-12096,1146,15,-951,right
2025-10-09T11:31:59.280968,-2804,11148,-12168,1430,-111,-498,right
2025-10-09T11:31:59.303454,-2556,11940,-12652,1342,-133,-311,right
2025-10-09T11:31:59.324479,-2808,11892,-12860,976,-37,-156,right
