timestamp,ax,ay,az,gx,gy,gz,label
2025-10-09T11:11:39.403497,-14524,-4116,-6664,-340,163,-201,slow
2025-10-09T11:11:39.427048,-14596,-4044,-6512,-241,155,-128,slow
2025-10-09T11:11:39.447405,-14556,-3968,-6616,-276,65,-154,slow
2025-10-09T11:11:39.471022,-14456,-4000,-6756,-279,26,-61,slow
2025-10-09T11:11:39.491338,-14492,-3900,-6696,-323,0,-15,slow
2025-10-09T11:11:39.513227,-14392,-4000,-6732,-342,57,-9,slow
2025-10-09T11:11:39.535995,-14352,-4220,-6872,-400,118,-54,slow
2025-10-09T11:11:39.557872,-14376,-4168,-6784,-398,233,-121,slow
2025-10-09T11:11:39.580333,-14328,-4056,-6684,-373,299,-150,slow
2025-10-09T11:11:39.602302,-14424,-4144,-6716,-399,296,-159,slow
2025-10-09T11:11:39.624365,-14536,-4080,-6704,-342,215,-171,slow
2025-10-09T11:11:39.646338,-14488,-4036,-6692,-385,147,-109,slow
2025-10-09T11:11:39.667848,-14556,-3980,-6700,-336,137,-56,slow
2025-10-09T11:11:39.690203,-14424,-4080,-6668,-375,117,-36,slow
2025-10-09T11:11:39.712244,-14436,-3980,-6732,-424,125,-79,slow
2025-10-09T11:11:39.733441,-14468,-4096,-6720,-458,166,-93,slow
2025-10-09T11:11:39.756215,-14428,-4100,-6652,-350,239,-69,slow
2025-10-09T11:11:39.778188,-14468,-4192,-6580,-339,199,-69,slow
2025-10-09T11:11:39.800228,-14500,-4104,-6664,-270,165,-53,slow
2025-10-09T11:11:39.822245,-14484,-4096,-6588,-289,41,-116,slow
2025-10-09T11:11:39.844323,-14528,-3992,-6736,-325,18,-99,slow
2025-10-09T11:11:39.865799,-14476,-3980,-6776,-264,128,-92,slow
2025-10-09T11:11:39.888088,-14408,-4084,-6644,-274,172,-15,slow
2025-10-09T11:11:39.911022,-14376,-4112,-6692,-283,167,58,slow
2025-10-09T11:11:39.931367,-14488,-3988,-6740,-308,86,-4,slow
2025-10-09T11:11:39.955048,-14452,-4060,-6740,-345,114,-55,slow
2025-10-09T11:11:39.975697,-14444,-4036,-6812,-303,127,-120,slow
2025-10-09T11:11:39.998003,-14420,-4064,-6684,-140,229,-119,slow
2025-10-09T11:11:40.019549,-14464,-4084,-6632,-64,288,-63,slow
2025-10-09T11:11:40.041710,-14636,-4020,-6444,-141,148,-103,slow
2025-10-09T11:11:40.063375,-14548,-4008,-6556,-170,-32,-79,slow
2025-10-09T11:11:40.085534,-14504,-4060,-6596,-184,-100,-59,slow
2025-10-09T11:11:40.107445,-14392,-4148,-6664,-145,-86,-26,slow
2025-10-09T11:11:40.129177,-14156,-4404,-7076,53,81,75,slow
2025-10-09T11:11:40.151684,-14372,-4160,-6988,-226,100,-228,slow
2025-10-09T11:11:40.173791,-14420,-4008,-6804,-396,125,-405,slow
2025-10-09T11:11:40.195799,-14392,-3884,-6788,-549,100,-367,slow
2025-10-09T11:11:40.217791,-14292,-3916,-7100,-444,105,-212,slow
2025-10-09T11:11:40.239532,-14320,-3620,-7268,-592,96,-215,slow
2025-10-09T11:11:40.261594,-14108,-3180,-7724,-953,113,-465,slow
2025-10-09T11:11:40.283735,-13888,-2756,-8284,-1518,223,-712,slow
2025-10-09T11:11:40.305816,-13776,-2564,-8876,-2221,454,-959,slow
2025-10-09T11:11:40.327864,-13496,-1992,-9232,-2817,783,-1078,slow
2025-10-09T11:11:40.349988,-13976,-1008,-9324,-3803,945,-1281,slow
2025-10-09T11:11:40.372087,-13704,-1056,-9728,-5161,1206,-1736,slow
2025-10-09T11:11:40.394495,-13144,-1304,-9616,-6204,1574,-1866,slow
2025-10-09T11:11:40.416643,-13756,-1212,-9836,-7678,1876,-1921,slow
2025-10-09T11:11:40.438236,-13840,-1444,-10152,-9045,1919,-1742,slow
2025-10-09T11:11:40.460049,-13504,-2412,-9864,-9895,1929,-1528,slow
2025-10-09T11:11:40.482184,-13144,-3408,-10320,-10180,2012,-1172,slow
2025-10-09T11:11:40.504028,-14140,-3396,-9140,-10329,1915,-1077,slow
2025-10-09T11:11:40.526248,-13200,-4912,-9788,-10246,2017,-1238,slow
2025-10-09T11:11:40.548298,-13772,-4624,-8912,-10200,2250,-1495,slow
2025-10-09T11:11:40.570105,-13844,-4780,-8528,-10185,2323,-1753,slow
2025-10-09T11:11:40.592103,-14068,-4728,-8112,-10053,2319,-1911,slow
2025-10-09T11:11:40.614017,-14260,-4872,-7656,-9732,2209,-1989,slow
2025-10-09T11:11:40.635931,-14436,-5520,-7376,-8638,2060,-1639,slow
2025-10-09T11:11:40.658046,-14732,-5368,-7028,-7315,1488,-1466,slow
2025-10-09T11:11:40.679788,-14856,-5088,-6920,-6401,679,-1392,slow
2025-10-09T11:11:40.701803,-14656,-4900,-6956,-5230,111,-1296,slow
2025-10-09T11:11:40.724346,-14268,-4460,-7160,-4404,-225,-1248,slow
2025-10-09T11:11:40.746464,-14032,-3976,-7568,-3715,-130,-1267,slow
2025-10-09T11:11:40.768459,-14084,-3532,-7856,-3170,107,-1318,slow
2025-10-09T11:11:40.790473,-14164,-3076,-8072,-2706,179,-1311,slow
2025-10-09T11:11:40.811962,-13828,-3124,-8504,-2072,114,-1189,slow
2025-10-09T11:11:40.834437,-13828,-2804,-8448,-1422,-7,-893,slow
2025-10-09T11:11:40.856575,-13680,-2664,-8644,-1050,-95,-614,slow
2025-10-09T11:11:40.877929,-13792,-2240,-8672,-792,-87,-431,slow
2025-10-09T11:11:40.900236,-13656,-2356,-9140,-553,38,-311,slow
2025-10-09T11:11:40.922451,-13540,-2324,-9296,-225,175,-152,slow
