timestamp,ax,ay,az,gx,gy,gz,label
2025-10-09T11:23:15.877036,-14868,-3796,-5748,-293,151,15,fast
2025-10-09T11:23:15.898228,-14908,-3848,-5768,-310,68,85,fast
2025-10-09T11:23:15.920322,-14916,-3780,-5900,-158,67,139,fast
2025-10-09T11:23:15.942313,-14836,-3796,-6056,-187,66,46,fast
2025-10-09T11:23:15.964297,-14716,-3872,-6048,-259,46,-53,fast
2025-10-09T11:23:15.986663,-14604,-3848,-6176,-219,162,-62,fast
2025-10-09T11:23:16.009142,-14716,-3736,-6092,-192,265,-114,fast
2025-10-09T11:23:16.031270,-14820,-3724,-5980,-234,335,-227,fast
2025-10-09T11:23:16.053003,-15064,-3472,-5956,-202,287,-343,fast
2025-10-09T11:23:16.075422,-15020,-3588,-5824,-368,244,-272,fast
2025-10-09T11:23:16.097410,-14988,-3752,-5844,-305,176,-138,fast
2025-10-09T11:23:16.119035,-14992,-3696,-5792,-211,117,-66,fast
2025-10-09T11:23:16.141008,-14972,-3676,-5744,-195,37,14,fast
2025-10-09T11:23:16.162160,-14932,-3716,-5992,-276,6,-5,fast
2025-10-09T11:23:16.185214,-14712,-3904,-6044,-382,3,-21,fast
2025-10-09T11:23:16.207131,-14688,-3772,-6224,-313,145,-80,fast
2025-10-09T11:23:16.229446,-14816,-3772,-6028,-258,274,-165,fast
2025-10-09T11:23:16.251301,-14812,-3808,-5996,-245,340,-149,fast
2025-10-09T11:23:16.273247,-14848,-3876,-5820,-251,240,-159,fast
2025-10-09T11:23:16.295472,-14900,-3776,-5980,-180,171,-146,fast
2025-10-09T11:23:16.316895,-14872,-3708,-5856,-201,83,-101,fast
2025-10-09T11:23:16.339313,-14836,-3828,-5952,-212,55,-100,fast
2025-10-09T11:23:16.360489,-14800,-3892,-5776,-55,155,-97,fast
2025-10-09T11:23:16.382780,-14812,-4008,-5760,-120,76,-148,fast
2025-10-09T11:23:16.404283,-14772,-4396,-5756,-41,84,-127,fast
2025-10-09T11:23:16.426307,-14764,-4380,-5736,179,-8,-107,fast
2025-10-09T11:23:16.448465,-14464,-4628,-6424,344,-194,-220,fast
2025-10-09T11:23:16.470536,-14412,-4824,-7252,1032,-71,-154,fast
2025-10-09T11:23:16.492326,-13472,-2096,-9356,2088,636,224,fast
2025-10-09T11:23:16.514529,-13596,-168,-11952,3039,1373,997,fast
2025-10-09T11:23:16.537094,-12572,4336,-15284,2901,2541,1161,fast
2025-10-09T11:23:16.558598,-10240,5452,-21012,2004,3033,1495,fast
2025-10-09T11:23:16.580649,-11976,9044,-24656,2796,4620,1432,fast
2025-10-09T11:23:16.602530,-14080,8124,-28020,174,6821,2163,fast
2025-10-09T11:23:16.625087,-19176,6552,-27420,-7279,7943,1518,fast
2025-10-09T11:23:16.647153,-22240,2228,-29872,-18271,10515,2211,fast
2025-10-09T11:23:16.668989,-23956,-3544,-26236,-28104,15438,6545,fast
2025-10-09T11:23:16.691356,-24360,-8220,-21776,-32477,23418,11440,fast
2025-10-09T11:23:16.714123,-26792,-10748,-13296,-32768,30268,15359,fast
2025-10-09T11:23:16.735179,-28424,-13048,-5808,-32768,31077,14671,fast
2025-10-09T11:23:16.757340,-26136,-14156,-2904,-27536,27536,13785,fast
2025-10-09T11:23:16.779016,-23356,-14936,1272,-19884,22414,13087,fast
2025-10-09T11:23:16.800922,-19016,-13088,1836,-14471,14226,11949,fast
2025-10-09T11:23:16.822729,-13624,-9640,544,-10039,8681,10244,fast
2025-10-09T11:23:16.845034,-9828,-4044,-1876,-10230,4579,5581,fast
2025-10-09T11:23:16.866848,-4720,-1024,-6736,-11626,4036,1900,fast
2025-10-09T11:23:16.889219,-3748,1204,-9248,-10930,7459,-546,fast
2025-10-09T11:23:16.911253,-5476,5404,-10112,-10010,10837,-2123,fast
2025-10-09T11:23:16.932851,-7416,6340,-9728,-10119,10513,-2220,fast
2025-10-09T11:23:16.954732,-8048,7364,-9960,-8509,7448,-1161,fast
2025-10-09T11:23:16.976738,-8164,7840,-10516,-6256,3944,959,fast
2025-10-09T11:23:16.998835,-7976,8172,-11084,-4602,1550,2831,fast
2025-10-09T11:23:17.020577,-7104,7960,-12376,-3626,541,2463,fast
2025-10-09T11:23:17.042498,-6336,8040,-13072,-2399,952,1230,fast
2025-10-09T11:23:17.066103,-6440,8768,-12664,-2122,1861,-288,fast
2025-10-09T11:23:17.086688,-6652,8560,-12396,-1880,2280,-1390,fast
2025-10-09T11:23:17.112076,-6572,10460,-11148,-1937,1826,-802,fast
2025-10-09T11:23:17.130848,-7360,10332,-11264,-1219,1055,-1174,fast
2025-10-09T11:23:17.152650,-7228,10644,-11508,-1838,-126,-808,fast
2025-10-09T11:23:17.174639,-7004,10060,-12032,-2043,-392,92,fast
2025-10-09T11:23:17.196642,-6860,9732,-11988,-1370,287,1011,fast
2025-10-09T11:23:17.218470,-6892,9648,-11692,-1254,584,1174,fast
2025-10-09T11:23:17.240442,-6864,9924,-11368,-1814,154,442,fast
2025-10-09T11:23:17.263093,-6524,9280,-11676,-2091,-423,-142,fast
2025-10-09T11:23:17.284685,-6464,8840,-11660,-1550,-622,-289,fast
2025-10-09T11:23:17.306699,-6176,8652,-11972,-999,-898,-404,fast
2025-10-09T11:23:17.328876,-6236,8724,-11924,-582,-1128,-360,fast
2025-10-09T11:23:17.351745,-6600,9020,-11864,-420,-1147,-559,fast
2025-10-09T11:23:17.372735,-6488,8592,-11960,-240,-1000,-930,fast
