timestamp,ax,ay,az,gx,gy,gz,label
2025-10-09T11:07:32.942094,-14860,-1092,-7424,-393,154,-76,idle
2025-10-09T11:07:32.964111,-14780,-1196,-7512,-391,246,-82,idle
2025-10-09T11:07:32.986208,-14776,-1312,-7400,-410,245,-44,idle
2025-10-09T11:07:33.008150,-14672,-1376,-7400,-407,253,-4,idle
2025-10-09T11:07:33.030135,-14760,-1280,-7356,-399,201,-26,idle
2025-10-09T11:07:33.052090,-14756,-1300,-7456,-334,237,-82,idle
2025-10-09T11:07:33.074694,-14904,-1196,-7416,-274,253,-144,idle
2025-10-09T11:07:33.097404,-14832,-1276,-7480,-286,197,-107,idle
2025-10-09T11:07:33.118809,-14704,-1236,-7420,-268,160,-58,idle
2025-10-09T11:07:33.140624,-14712,-1264,-7368,-286,186,-9,idle
2025-10-09T11:07:33.162920,-14668,-1276,-7400,-298,187,-8,idle
2025-10-09T11:07:33.184730,-14744,-1228,-7404,-349,152,-51,idle
2025-10-09T11:07:33.207177,-14776,-1248,-7460,-338,217,-103,idle
2025-10-09T11:07:33.228978,-14828,-1200,-7400,-261,288,-157,idle
2025-10-09T11:07:33.251078,-14752,-1212,-7296,-361,183,-120,idle
2025-10-09T11:07:33.272441,-14768,-1288,-7432,-321,196,-23,idle
2025-10-09T11:07:33.294311,-14732,-1272,-7424,-239,185,-35,idle
2025-10-09T11:07:33.316951,-14764,-1184,-7388,-256,188,-95,idle
2025-10-09T11:07:33.338954,-14796,-1084,-7432,-264,192,-141,idle
2025-10-09T11:07:33.361142,-14744,-1104,-7412,-246,181,-106,idle
2025-10-09T11:07:33.383062,-14800,-1128,-7364,-326,131,-66,idle
2025-10-09T11:07:33.405112,-14792,-1284,-7464,-444,87,-26,idle
2025-10-09T11:07:33.426426,-14668,-1280,-7504,-447,67,-44,idle
2025-10-09T11:07:33.450029,-14636,-1368,-7484,-383,116,-100,idle
2025-10-09T11:07:33.470119,-14608,-1412,-7448,-388,75,-212,idle
2025-10-09T11:07:33.492490,-14524,-1300,-7632,-254,199,-209,idle
2025-10-09T11:07:33.514450,-14700,-1248,-7496,-259,237,-236,idle
2025-10-09T11:07:33.536482,-14776,-1124,-7552,-347,281,-238,idle
2025-10-09T11:07:33.558431,-14780,-1196,-7452,-400,266,-220,idle
2025-10-09T11:07:33.580391,-14740,-1088,-7268,-370,318,-154,idle
2025-10-09T11:07:33.604050,-14696,-1116,-7340,-352,269,-114,idle
2025-10-09T11:07:33.624244,-14760,-1096,-7428,-337,268,-86,idle
2025-10-09T11:07:33.646784,-14920,-1228,-7400,-413,206,-44,idle
2025-10-09T11:07:33.668229,-14744,-1312,-7468,-418,258,-56,idle
2025-10-09T11:07:33.690335,-14776,-1376,-7508,-371,269,-81,idle
2025-10-09T11:07:33.713097,-14692,-1316,-7356,-300,322,-100,idle
2025-10-09T11:07:33.734468,-14740,-1288,-7220,-257,222,-131,idle
2025-10-09T11:07:33.756353,-14792,-1216,-7316,-238,166,-40,idle
2025-10-09T11:07:33.778288,-14796,-1188,-7260,-237,114,-43,idle
2025-10-09T11:07:33.800179,-14704,-1244,-7424,-221,114,7,idle
2025-10-09T11:07:33.822299,-14636,-1256,-7544,-277,123,51,idle
2025-10-09T11:07:33.845051,-14740,-1288,-7368,-269,115,-10,idle
2025-10-09T11:07:33.866211,-14624,-1328,-7500,-276,83,-65,idle
2025-10-09T11:07:33.888484,-14596,-1436,-7428,-274,118,-117,idle
2025-10-09T11:07:33.911160,-14544,-1332,-7564,-187,184,-111,idle
2025-10-09T11:07:33.932168,-14652,-1324,-7532,-168,172,-98,idle
2025-10-09T11:07:33.954529,-14688,-1288,-7500,-186,151,-156,idle
2025-10-09T11:07:33.976532,-14712,-1144,-7412,-202,203,-133,idle
2025-10-09T11:07:33.998476,-14788,-1112,-7408,-235,139,-150,idle
2025-10-09T11:07:34.020231,-14756,-1068,-7548,-312,112,-87,idle
2025-10-09T11:07:34.042090,-14716,-1236,-7644,-331,96,2,idle
2025-10-09T11:07:34.064395,-14736,-1260,-7560,-294,146,40,idle
2025-10-09T11:07:34.086194,-14684,-1228,-7544,-344,218,3,idle
2025-10-09T11:07:34.108310,-14700,-1328,-7532,-354,234,-92,idle
2025-10-09T11:07:34.130630,-14716,-1292,-7328,-360,192,-108,idle
2025-10-09T11:07:34.152518,-14748,-1372,-7392,-323,160,-100,idle
2025-10-09T11:07:34.174297,-14700,-1264,-7488,-353,167,-34,idle
2025-10-09T11:07:34.196850,-14748,-1304,-7472,-310,153,21,idle
2025-10-09T11:07:34.218249,-14816,-1252,-7524,-357,210,32,idle
2025-10-09T11:07:34.240451,-14752,-1328,-7376,-322,193,-5,idle
2025-10-09T11:07:34.263070,-14652,-1284,-7452,-222,127,8,idle
2025-10-09T11:07:34.284774,-14660,-1308,-7488,-252,84,-17,idle
2025-10-09T11:07:34.306744,-14660,-1352,-7508,-287,57,-60,idle
2025-10-09T11:07:34.328814,-14744,-1240,-7436,-288,197,-71,idle
2025-10-09T11:07:34.351012,-14800,-1188,-7488,-353,230,-86,idle
2025-10-09T11:07:34.373059,-14800,-1252,-7372,-264,209,-80,idle
2025-10-09T11:07:34.394648,-14716,-1328,-7404,-251,65,-33,idle
2025-10-09T11:07:34.417108,-14692,-1408,-7436,-186,74,30,idle
2025-10-09T11:07:34.438569,-14688,-1264,-7312,-213,61,54,idle
2025-10-09T11:07:34.461140,-14648,-1392,-7556,-198,145,-10,idle
2025-10-09T11:07:34.482583,-14692,-1272,-7548,-273,176,-23,idle
2025-10-09T11:07:34.504529,-14656,-1360,-7376,-271,226,-53,idle
2025-10-09T11:07:34.527184,-14560,-1372,-7516,-276,218,-9,idle
2025-10-09T11:07:34.549094,-14684,-1424,-7568,-164,237,-97,idle
2025-10-09T11:07:34.571456,-14728,-1284,-7416,-153,260,-162,idle
2025-10-09T11:07:34.593302,-14732,-1192,-7540,-176,264,-226,idle
2025-10-09T11:07:34.615350,-14652,-1064,-7604,-266,267,-154,idle
2025-10-09T11:07:34.637149,-14724,-1036,-7536,-328,301,-98,idle
2025-10-09T11:07:34.659149,-14824,-1124,-7408,-400,333,-4,idle
2025-10-09T11:07:34.680831,-14880,-1180,-7396,-389,297,44,idle
2025-10-09T11:07:34.702715,-14936,-1256,-7452,-329,211,-19,idle
2025-10-09T11:07:34.725036,-14804,-1332,-7428,-285,124,-16,idle
2025-10-09T11:07:34.746789,-14752,-1380,-7416,-285,78,6,idle
2025-10-09T11:07:34.768579,-14688,-1272,-7504,-266,148,87,idle
2025-10-09T11:07:34.791045,-14748,-1184,-7440,-274,161,125,idle
2025-10-09T11:07:34.813067,-14764,-1256,-7448,-267,218,92,idle
2025-10-09T11:07:34.835163,-14716,-1276,-7544,-216,192,45,idle
2025-10-09T11:07:34.856929,-14716,-1176,-7376,-272,128,42,idle
2025-10-09T11:07:34.878556,-14728,-1276,-7468,-294,68,-17,idle
2025-10-09T11:07:34.901093,-14664,-1280,-7520,-296,49,52,idle
2025-10-09T11:07:34.923102,-14660,-1392,-7556,-287,160,36,idle
2025-10-09T11:07:34.945166,-14580,-1500,-7496,-233,127,73,idle
2025-10-09T11:07:34.967274,-14776,-1376,-7408,-217,128,47,idle
2025-10-09T11:07:34.989164,-14748,-1100,-7664,-296,18,-118,idle
2025-10-09T11:07:35.011220,-14544,-944,-7580,-353,91,-134,idle
2025-10-09T11:07:35.033182,-14264,-1380,-7580,-315,240,59,idle
2025-10-09T11:07:35.055048,-14536,-1488,-7436,-173,465,221,idle
2025-10-09T11:07:35.076737,-14964,-1300,-7280,-116,500,134,idle
2025-10-09T11:07:35.099059,-15124,-1132,-7420,-175,319,-51,idle
2025-10-09T11:07:35.121025,-15056,-1152,-7336,-265,33,-193,idle
2025-10-09T11:07:35.143145,-14640,-1324,-7528,-303,-97,-45,idle
2025-10-09T11:07:35.165064,-14600,-1204,-7544,-371,-121,121,idle
2025-10-09T11:07:35.187159,-14592,-1192,-7564,-325,71,175,idle
2025-10-09T11:07:35.209002,-14708,-1192,-7548,-343,175,10,idle
2025-10-09T11:07:35.230736,-14884,-1368,-7372,-273,161,-124,idle
2025-10-09T11:07:35.252799,-14848,-1352,-7444,-268,65,-185,idle
2025-10-09T11:07:35.275442,-14708,-1292,-7476,-290,-11,-151,idle
2025-10-09T11:07:35.296972,-14680,-1176,-7524,-294,-17,-41,idle
