timestamp,ax,ay,az,gx,gy,gz,label
2025-10-09T11:15:23.526789,-13900,-2876,-8328,-254,76,54,medium
2025-10-09T11:15:23.549159,-14028,-2872,-8316,-297,187,-117,medium
2025-10-09T11:15:23.571155,-13928,-2964,-8336,-373,311,-116,medium
2025-10-09T11:15:23.593165,-13928,-2924,-8292,-517,347,-175,medium
2025-10-09T11:15:23.615156,-14060,-2844,-8108,-521,379,-186,medium
2025-10-09T11:15:23.637569,-14172,-3000,-7920,-608,274,-301,medium
2025-10-09T11:15:23.660401,-14188,-2928,-8036,-617,239,-335,medium
2025-10-09T11:15:23.682129,-14148,-2912,-8212,-523,221,-222,medium
2025-10-09T11:15:23.703746,-14072,-2848,-8168,-477,269,-84,medium
2025-10-09T11:15:23.724935,-14020,-2828,-8196,-443,226,-31,medium
2025-10-09T11:15:23.748065,-14016,-2816,-8088,-479,243,-39,medium
2025-10-09T11:15:23.769646,-14028,-2960,-8164,-525,183,-173,medium
2025-10-09T11:15:23.791959,-14088,-3012,-8188,-502,164,-273,medium
2025-10-09T11:15:23.813601,-14060,-3012,-8052,-417,151,-285,medium
2025-10-09T11:15:23.835868,-14124,-2864,-8036,-295,188,-157,medium
2025-10-09T11:15:23.857596,-14096,-2968,-8088,-290,201,-51,medium
2025-10-09T11:15:23.879527,-14180,-2964,-8228,-283,193,-18,medium
2025-10-09T11:15:23.901634,-14080,-2920,-8100,-333,93,-118,medium
2025-10-09T11:15:23.923822,-14040,-2892,-8292,-266,113,-176,medium
2025-10-09T11:15:23.945830,-14036,-2964,-8360,-201,140,-232,medium
2025-10-09T11:15:23.967833,-14056,-2780,-8172,-203,189,-236,medium
2025-10-09T11:15:23.989840,-14076,-2768,-8136,-162,232,-116,medium
2025-10-09T11:15:24.011002,-14196,-2700,-8048,-267,182,-71,medium
2025-10-09T11:15:24.034015,-14112,-2836,-8168,-291,8,-12,medium
2025-10-09T11:15:24.054950,-14076,-2896,-8284,-200,-55,-7,medium
2025-10-09T11:15:24.077025,-13996,-2940,-8200,-67,-10,26,medium
2025-10-09T11:15:24.098869,-13980,-2984,-8208,-130,58,-41,medium
2025-10-09T11:15:24.120983,-13968,-3040,-8084,-142,138,-96,medium
2025-10-09T11:15:24.143080,-14060,-2964,-8100,-158,130,-121,medium
2025-10-09T11:15:24.165115,-14124,-3000,-8092,-87,122,-157,medium
2025-10-09T11:15:24.186886,-14196,-2828,-8036,-46,49,-96,medium
2025-10-09T11:15:24.208984,-14352,-2924,-8072,-68,-49,-98,medium
2025-10-09T11:15:24.231166,-14200,-3040,-8124,-19,-110,-36,medium
2025-10-09T11:15:24.253285,-14308,-2784,-8172,-77,-302,-91,medium
2025-10-09T11:15:24.275218,-14132,-2648,-8344,-162,-429,-200,medium
2025-10-09T11:15:24.297282,-13808,-2264,-8832,-216,-518,-323,medium
2025-10-09T11:15:24.319303,-13396,-2044,-9200,-261,-415,-369,medium
2025-10-09T11:15:24.341199,-12748,-1684,-9760,-664,-299,-752,medium
2025-10-09T11:15:24.363238,-12664,-700,-10872,-1194,161,-1006,medium
2025-10-09T11:15:24.385563,-12460,344,-12128,-1907,760,-1515,medium
2025-10-09T11:15:24.407383,-12324,764,-13532,-2874,1326,-2334,medium
2025-10-09T11:15:24.429604,-12128,1764,-14832,-4282,2222,-2212,medium
2025-10-09T11:15:24.451658,-12632,2520,-14780,-6439,2772,-2260,medium
2025-10-09T11:15:24.473752,-12340,2396,-15236,-8755,3262,-2516,medium
2025-10-09T11:15:24.495627,-12300,2336,-16196,-11926,3688,-1429,medium
2025-10-09T11:15:24.517659,-13196,1336,-16148,-14571,4389,-795,medium
2025-10-09T11:15:24.539247,-13556,672,-16472,-16840,5327,-205,medium
2025-10-09T11:15:24.561553,-13492,-756,-16484,-17392,7225,1317,medium
2025-10-09T11:15:24.583747,-14052,-3240,-15256,-17320,9026,2749,medium
2025-10-09T11:15:24.605607,-15356,-3420,-14024,-18010,9297,2587,medium
2025-10-09T11:15:24.627700,-15092,-4244,-12872,-18070,9380,2229,medium
2025-10-09T11:15:24.649723,-15032,-4220,-11436,-17554,9175,1718,medium
2025-10-09T11:15:24.671934,-14000,-5044,-10760,-15737,9250,2018,medium
2025-10-09T11:15:24.693494,-14580,-5596,-8484,-13966,8771,2112,medium
2025-10-09T11:15:24.715214,-13948,-4620,-7784,-13152,6906,956,medium
2025-10-09T11:15:24.737337,-13848,-3688,-6612,-11950,5172,-87,medium
2025-10-09T11:15:24.759236,-12736,-4204,-7420,-9449,3833,-593,medium
2025-10-09T11:15:24.781537,-12380,-3476,-7884,-7015,3090,-1074,medium
2025-10-09T11:15:24.803605,-12260,-2208,-8064,-5274,2564,-1253,medium
2025-10-09T11:15:24.825303,-12476,-144,-8308,-4227,2255,-1846,medium
2025-10-09T11:15:24.848123,-12000,956,-9000,-3928,1688,-2411,medium
2025-10-09T11:15:24.870120,-11736,1500,-9984,-3572,1313,-2479,medium
2025-10-09T11:15:24.892367,-11596,2232,-10420,-2957,1148,-2040,medium
2025-10-09T11:15:24.914348,-11628,2996,-10640,-2067,1055,-1299,medium
2025-10-09T11:15:24.935626,-11652,3700,-10820,-1497,493,-960,medium
2025-10-09T11:15:24.957913,-11704,4148,-11140,-1154,-126,-589,medium
2025-10-09T11:15:24.979957,-11544,4236,-11528,-561,-375,-129,medium
2025-10-09T11:15:25.001686,-11376,4232,-11632,-116,-278,300,medium
2025-10-09T11:15:25.023308,-11432,4492,-11808,-187,-328,368,medium
