timestamp,ax,ay,az,gx,gy,gz,label
2025-10-09T11:31:46.784798,-13416,-1920,-9596,-310,215,-123,right
2025-10-09T11:31:46.806811,-13448,-2004,-9412,-240,193,-135,right
2025-10-09T11:31:46.828837,-13508,-1880,-9552,-300,197,-170,right
2025-10-09T11:31:46.850688,-13524,-1860,-9528,-270,165,-159,right
2025-10-09T11:31:46.873581,-13544,-1812,-9560,-326,115,-184,right
2025-10-09T11:31:46.894863,-13428,-1892,-9612,-267,91,-80,right
2025-10-09T11:31:46.916770,-13548,-1796,-9508,-271,210,-46,right
2025-10-09T11:31:46.939274,-13652,-1540,-9492,-294,261,-100,right
2025-10-09T11:31:46.961498,-13432,-1836,-9588,-361,198,-100,right
2025-10-09T11:31:46.983219,-13412,-1828,-9588,-240,261,-88,right
2025-10-09T11:31:47.004979,-13464,-1960,-9640,-227,229,-80,right
2025-10-09T11:31:47.026770,-13444,-1896,-9636,-175,220,-96,right
2025-10-09T11:31:47.048745,-13496,-1888,-9504,-247,191,-158,right
2025-10-09T11:31:47.070955,-13404,-1772,-9488,-277,121,-150,right
2025-10-09T11:31:47.092929,-13468,-1832,-9648,-284,198,-82,right
2025-10-09T11:31:47.115157,-13460,-1844,-9560,-265,230,-25,right
2025-10-09T11:31:47.137101,-13472,-1900,-9548,-292,240,1,right
2025-10-09T11:31:47.159067,-13436,-1944,-9596,-276,216,-92,right
2025-10-09T11:31:47.181320,-13524,-1884,-9604,-327,213,-206,right
2025-10-09T11:31:47.203932,-13492,-1908,-9416,-270,219,-179,right
2025-10-09T11:31:47.225377,-13420,-1952,-9676,-170,241,-118,right
2025-10-09T11:31:47.247181,-13532,-1968,-9544,-172,198,-35,right
2025-10-09T11:31:47.268673,-13504,-2096,-9608,-195,137,-44,right
2025-10-09T11:31:47.291065,-13508,-2040,-9672,-145,171,35,right
2025-10-09T11:31:47.312635,-13344,-2120,-9712,-97,164,-40,right
2025-10-09T11:31:47.334745,-13184,-1944,-9756,-151,241,-155,right
2025-10-09T11:31:47.356727,-12804,-1608,-10212,-55,443,-312,right
2025-10-09T11:31:47.378522,-12692,-628,-10744,159,922,-469,right
2025-10-09T11:31:47.400528,-12624,524,-11448,679,1981,-152,right
2025-10-09T11:31:47.424898,-13332,1780,-12376,1371,3081,451,right
2025-10-09T11:31:47.444840,-13296,3364,-13112,1362,3678,1089,right
2025-10-09T11:31:47.466801,-13500,5372,-13048,920,4155,2412,right
2025-10-09T11:31:47.488738,-13508,5480,-13404,854,4785,4389,right
2025-10-09T11:31:47.510757,-14576,9308,-15860,466,5695,7434,right
2025-10-09T11:31:47.532857,-15228,13356,-17724,687,6822,11408,right
2025-10-09T11:31:47.555147,-15508,12016,-17948,-2834,6925,13076,right
2025-10-09T11:31:47.577234,-15616,10736,-20060,-6616,7154,15183,right
2025-10-09T11:31:47.599139,-15804,10252,-22052,-8707,10140,18915,right
2025-10-09T11:31:47.621168,-16624,8608,-22672,-10405,14123,22834,right
2025-10-09T11:31:47.643292,-17508,6408,-22136,-13085,17228,24099,right
2025-10-09T11:31:47.665210,-17984,4952,-20964,-15829,19242,24390,right
2025-10-09T11:31:47.687167,-17564,2640,-19336,-16006,21159,24678,right
2025-10-09T11:31:47.709347,-17656,1008,-16296,-15107,21207,24168,right
2025-10-09T11:31:47.731285,-16668,320,-13096,-14282,19204,22475,right
2025-10-09T11:31:47.753172,-14996,-620,-10528,-13791,15899,19571,right
2025-10-09T11:31:47.775322,-13696,-804,-9300,-12511,12445,16616,right
2025-10-09T11:31:47.797255,-12348,-2660,-8124,-9975,11212,15344,right
2025-10-09T11:31:47.818876,-9852,-1060,-9924,-7565,9894,13046,right
2025-10-09T11:31:47.840713,-7600,16,-9068,-5006,9124,10829,right
2025-10-09T11:31:47.863252,-5324,2244,-8436,-3781,8059,8336,right
2025-10-09T11:31:47.884952,-3848,3216,-7608,-4344,6197,5360,right
2025-10-09T11:31:47.907073,-3160,4008,-7980,-5166,4770,2216,right
2025-10-09T11:31:47.930045,-2400,5332,-9428,-5584,3313,-80,right
2025-10-09T11:31:47.950834,-1384,6468,-10528,-4635,2859,-1115,right
2025-10-09T11:31:47.976074,-1220,7532,-10324,-2831,2508,-1273,right
2025-10-09T11:31:47.994804,-1016,8284,-10532,-1039,1849,-1223,right
2025-10-09T11:31:48.016479,-1084,9536,-10904,233,748,-1424,right
2025-10-09T11:31:48.038742,-524,10368,-12060,966,-224,-1393,right
2025-10-09T11:31:48.061058,-460,11128,-12652,1751,-514,-1083,right
2025-10-09T11:31:48.084074,-716,12308,-12688,1669,-579,-1357,right
2025-10-09T11:31:48.104950,-708,12692,-13012,1037,-523,-1896,right
2025-10-09T11:31:48.126901,-552,12668,-13192,353,-373,-1937,right
2025-10-09T11:31:48.148630,-456,12612,-13040,-81,93,-1501,right
2025-10-09T11:31:48.170608,-640,12432,-12724,-290,397,-919,right
2025-10-09T11:31:48.192613,-1020,12500,-12216,-662,-1,-820,right
2025-10-09T11:31:48.215009,-1332,12160,-11684,-1006,-582,-996,right
2025-10-09T11:31:48.237342,-1304,11136,-12052,-1077,-1224,-1201,right
2025-10-09T11:31:48.259244,-1268,10960,-12076,-703,-1589,-1295,right
2025-10-09T11:31:48.280991,-1040,10504,-12200,134,-1306,-899,right
