timestamp,ax,ay,az,gx,gy,gz,label
2025-10-09T11:11:13.221833,-14640,-4124,-5972,-274,111,5,slow
2025-10-09T11:11:13.243955,-14788,-4132,-6280,-298,95,-44,slow
2025-10-09T11:11:13.265920,-14704,-4112,-6340,-377,93,-99,slow
2025-10-09T11:11:13.287995,-14652,-4088,-6308,-255,151,-68,slow
2025-10-09T11:11:13.310109,-14740,-3988,-6188,-207,242,-64,slow
2025-10-09T11:11:13.331965,-14800,-3896,-5964,-255,225,-3,slow
2025-10-09T11:11:13.354298,-14720,-3964,-5956,-268,165,-47,slow
2025-10-09T11:11:13.376147,-14656,-4032,-6068,-244,48,-2,slow
2025-10-09T11:11:13.398030,-14576,-4072,-6300,-161,7,-20,slow
2025-10-09T11:11:13.420200,-14556,-4104,-6400,-278,-25,42,slow
2025-10-09T11:11:13.442458,-14412,-4240,-6220,-212,179,60,slow
2025-10-09T11:11:13.464713,-14612,-4004,-6252,-184,289,-43,slow
2025-10-09T11:11:13.486839,-14652,-4040,-6164,-308,322,-196,slow
2025-10-09T11:11:13.508795,-14704,-4032,-6236,-443,215,-228,slow
2025-10-09T11:11:13.530763,-14680,-3980,-6236,-457,96,-56,slow
2025-10-09T11:11:13.552782,-14680,-3896,-6192,-360,73,-38,slow
2025-10-09T11:11:13.574809,-14604,-4036,-6148,-261,197,-14,slow
2025-10-09T11:11:13.596675,-14748,-4092,-6200,-158,248,-29,slow
2025-10-09T11:11:13.618942,-14848,-3932,-6264,-229,200,-129,slow
2025-10-09T11:11:13.640360,-14724,-3832,-6156,-244,95,-190,slow
2025-10-09T11:11:13.662380,-14500,-3940,-6132,-320,73,-74,slow
2025-10-09T11:11:13.684710,-14568,-4124,-6216,-351,95,31,slow
2025-10-09T11:11:13.706115,-14548,-4048,-6344,-276,136,15,slow
2025-10-09T11:11:13.728029,-14632,-4172,-6276,-248,230,-99,slow
2025-10-09T11:11:13.750136,-14644,-4128,-6264,-122,315,-204,slow
2025-10-09T11:11:13.772242,-14720,-3944,-6180,-227,230,-252,slow
2025-10-09T11:11:13.794307,-14672,-3840,-6164,-309,166,-270,slow
2025-10-09T11:11:13.816309,-14736,-3912,-6016,-242,112,-106,slow
2025-10-09T11:11:13.838000,-14836,-3872,-6088,-137,60,22,slow
2025-10-09T11:11:13.859705,-14748,-3916,-6172,-92,41,16,slow
2025-10-09T11:11:13.882668,-14648,-4020,-6152,-224,20,19,slow
2025-10-09T11:11:13.903661,-14564,-4148,-6268,-304,70,4,slow
2025-10-09T11:11:13.926126,-14520,-4140,-6268,-224,140,-71,slow
2025-10-09T11:11:13.948245,-14512,-4048,-6156,-137,232,-105,slow
2025-10-09T11:11:13.970151,-14604,-4120,-6032,-163,157,-205,slow
2025-10-09T11:11:13.992219,-14532,-4232,-6188,-164,149,-266,slow
2025-10-09T11:11:14.015057,-14680,-4136,-6044,-155,191,-237,slow
2025-10-09T11:11:14.036147,-14660,-4144,-6252,-230,168,-398,slow
2025-10-09T11:11:14.058237,-14512,-4236,-6308,-262,215,-435,slow
2025-10-09T11:11:14.080251,-14460,-4180,-6376,-168,273,-545,slow
2025-10-09T11:11:14.102094,-14384,-3824,-6632,-231,276,-649,slow
2025-10-09T11:11:14.124223,-14548,-3560,-6536,-304,257,-781,slow
2025-10-09T11:11:14.146346,-14520,-3528,-6720,-538,198,-967,slow
2025-10-09T11:11:14.168299,-14556,-3308,-6900,-640,194,-952,slow
2025-10-09T11:11:14.190349,-14636,-3340,-7056,-1000,113,-946,slow
2025-10-09T11:11:14.212320,-14128,-3256,-7936,-1578,79,-862,slow
2025-10-09T11:11:14.234419,-14096,-2696,-8136,-2020,324,-920,slow
2025-10-09T11:11:14.256296,-14164,-2048,-8780,-2960,452,-1249,slow
2025-10-09T11:11:14.278427,-13308,-2200,-9780,-3650,906,-1501,slow
2025-10-09T11:11:14.300589,-13296,-1576,-9804,-4690,1463,-1611,slow
2025-10-09T11:11:14.322842,-13836,-1076,-10208,-6065,2004,-2026,slow
2025-10-09T11:11:14.344883,-13144,-1888,-10748,-7159,2822,-1988,slow
2025-10-09T11:11:14.367155,-13432,-2316,-10140,-7967,3591,-1850,slow
2025-10-09T11:11:14.388665,-14020,-3544,-9736,-8870,4032,-1967,slow
2025-10-09T11:11:14.410892,-14064,-4120,-9324,-9187,4461,-1351,slow
2025-10-09T11:11:14.432728,-14408,-5368,-8700,-8805,4423,-866,slow
2025-10-09T11:11:14.454312,-14672,-6488,-7980,-8398,3783,-974,slow
2025-10-09T11:11:14.476582,-14616,-6088,-7680,-8252,3025,-1420,slow
2025-10-09T11:11:14.498562,-14428,-5852,-7312,-7499,2760,-1534,slow
2025-10-09T11:11:14.520678,-14148,-5724,-7024,-6646,2903,-1459,slow
2025-10-09T11:11:14.543055,-14264,-5580,-6740,-6486,2826,-1447,slow
2025-10-09T11:11:14.565424,-14168,-5780,-6828,-6533,2453,-1220,slow
2025-10-09T11:11:14.586707,-14556,-5460,-6580,-6359,1816,-1145,slow
2025-10-09T11:11:14.609176,-14540,-5532,-6792,-5728,1096,-1317,slow
2025-10-09T11:11:14.631072,-14600,-5000,-6768,-4879,425,-1490,slow
2025-10-09T11:11:14.653127,-14484,-4560,-7008,-4264,-235,-1645,slow
2025-10-09T11:11:14.675079,-13876,-4304,-7496,-3674,-730,-1617,slow
2025-10-09T11:11:14.697093,-13560,-3864,-7904,-3096,-881,-1297,slow
2025-10-09T11:11:14.718594,-13556,-3512,-8316,-2437,-616,-991,slow
